n_points_in       x_min       y_min       z_min       x_max       y_max       z_max      dx_out      dy_out      dz_out
       21822  1152.77000    71.07100     0.00000 25779.70000  9926.20000     1.00000     9.47609     9.47609     1.00000
x(m)        y(m)        z(m)        q(m^2/s)
 24794.20000    71.07070     0.00000   310.55940
 24870.00000    71.07070     0.00000   252.15390
 24945.80000    71.07070     0.00000   268.36300
 25021.60000    71.07070     0.00000   259.12380
 25097.40000    71.07070     0.00000   270.59260
 25173.20000    71.07070     0.00000   248.71690
 25249.00000    71.07070     0.00000   296.15250
 25324.80000    71.07070     0.00000   258.97940
 25400.70000    71.07070     0.00000   248.88430
 25476.50000    71.07070     0.00000   267.61420
 25552.30000    71.07070     0.00000   243.27990
 25628.10000    71.07070     0.00000   242.43090
 25703.90000    71.07070     0.00000   255.96560
 25779.70000    71.07070     0.00000   263.79480
 24727.40000    80.06090     0.00000   346.07360
 24718.40000    84.06360     0.00000   261.26170
 24674.90000   103.41500     0.00000   385.02160
 24642.60000   117.81600     0.00000   449.72850
 24622.50000   126.76900     0.00000   473.80140
 24642.60000   146.87900     0.00000   417.82090
 24718.40000   146.87900     0.00000   252.75250
 24794.20000   146.87900     0.00000   247.76490
 24870.00000   146.87900     0.00000   268.55820
 24945.80000   146.87900     0.00000   242.30310
 25021.60000   146.87900     0.00000   271.58520
 25097.40000   146.87900     0.00000   255.40130
 25173.20000   146.87900     0.00000   257.23960
 25249.00000   146.87900     0.00000   247.96130
 25324.80000   146.87900     0.00000   266.08480
 25400.70000   146.87900     0.00000   238.41230
 25476.50000   146.87900     0.00000   241.12480
 25552.30000   146.87900     0.00000   257.22330
 25628.10000   146.87900     0.00000   256.93870
 25703.90000   146.87900     0.00000   255.66440
 25779.70000   146.87900     0.00000   258.75290
 24577.30000   146.87900     0.00000   538.17920
 24570.00000   150.12400     0.00000   326.91880
 24566.80000   151.56800     0.00000   326.92230
 24517.60000   173.47800     0.00000   295.63620
 24491.00000   185.32000     0.00000   380.31370
 24465.10000   196.83200     0.00000   114.97860
 24415.10000   219.07200     0.00000   451.34970
 24412.60000   220.18600     0.00000   451.19990
 24415.10000   222.68800     0.00000   420.65090
 24491.00000   222.68800     0.00000   290.35090
 24566.80000   222.68800     0.00000   253.83600
 24642.60000   222.68800     0.00000   266.91140
 24718.40000   222.68800     0.00000   262.92190
 24794.20000   222.68800     0.00000   272.49920
 24870.00000   222.68800     0.00000   245.09400
 24945.80000   222.68800     0.00000   258.26260
 25021.60000   222.68800     0.00000   256.88520
 25097.40000   222.68800     0.00000   247.91830
 25173.20000   222.68800     0.00000   266.63800
 25249.00000   222.68800     0.00000   238.65610
 25324.80000   222.68800     0.00000   240.85840
 25400.70000   222.68800     0.00000   256.31330
 25476.50000   222.68800     0.00000   254.76560
 25552.30000   222.68800     0.00000   254.96100
 25628.10000   222.68800     0.00000   238.29950
 25703.90000   222.68800     0.00000   237.35270
 25779.70000   222.68800     0.00000   305.18200
 24407.00000   222.68800     0.00000   421.06720
 24360.20000   243.54000     0.00000   296.06190
 24339.30000   252.82400     0.00000   396.80780
 24307.70000   266.89500     0.00000   372.85130
 24263.50000   286.57700     0.00000   141.17440
