x(m)        y(m)        z(m)        h max (m)
 24794.20000    71.07070     0.00000     8.70340
 24870.00000    71.07070     0.00000     6.75080
 24945.80000    71.07070     0.00000     6.78090
 25021.60000    71.07070     0.00000     6.80040
 25097.40000    71.07070     0.00000     6.82850
 25173.20000    71.07070     0.00000     7.11330
 25249.00000    71.07070     0.00000     7.78630
 25324.80000    71.07070     0.00000     6.81840
 25400.70000    71.07070     0.00000     6.90370
 25476.50000    71.07070     0.00000     6.77940
 25552.30000    71.07070     0.00000     6.98670
 25628.10000    71.07070     0.00000     6.74930
 25703.90000    71.07070     0.00000     6.73680
 25779.70000    71.07070     0.00000     6.92550
 24727.40000    80.06090     0.00000     9.30810
 24718.40000    84.06360     0.00000     7.85000
 24674.90000   103.41500     0.00000    10.16000
 24642.60000   117.81600     0.00000    12.01870
 24622.50000   126.76900     0.00000    12.38750
 24642.60000   146.87900     0.00000    12.04530
 24718.40000   146.87900     0.00000     7.35130
 24794.20000   146.87900     0.00000     6.74620
 24870.00000   146.87900     0.00000     6.76250
 24945.80000   146.87900     0.00000     6.74310
 25021.60000   146.87900     0.00000     6.76550
 25097.40000   146.87900     0.00000     7.36190
 25173.20000   146.87900     0.00000     7.50640
 25249.00000   146.87900     0.00000     7.02850
 25324.80000   146.87900     0.00000     6.77110
 25400.70000   146.87900     0.00000     6.74920
 25476.50000   146.87900     0.00000     6.77610
 25552.30000   146.87900     0.00000     6.76340
 25628.10000   146.87900     0.00000     6.77690
 25703.90000   146.87900     0.00000     6.75050
 25779.70000   146.87900     0.00000     7.28900
 24577.30000   146.87900     0.00000    13.50950
 24570.00000   150.12400     0.00000     9.51130
 24566.80000   151.56800     0.00000     9.51140
 24517.60000   173.47800     0.00000     5.85870
 24491.00000   185.32000     0.00000    10.22720
 24465.10000   196.83200     0.00000     2.89840
 24415.10000   219.07200     0.00000     9.96280
 24412.60000   220.18600     0.00000     9.95950
 24415.10000   222.68800     0.00000     9.71930
 24491.00000   222.68800     0.00000     7.09040
 24566.80000   222.68800     0.00000     6.76170
 24642.60000   222.68800     0.00000     6.73740
 24718.40000   222.68800     0.00000     6.74840
 24794.20000   222.68800     0.00000     7.13900
 24870.00000   222.68800     0.00000     6.74220
 24945.80000   222.68800     0.00000     6.75270
 25021.60000   222.68800     0.00000     7.07010
 25097.40000   222.68800     0.00000     6.75000
 25173.20000   222.68800     0.00000     6.76360
 25249.00000   222.68800     0.00000     6.73830
 25324.80000   222.68800     0.00000     6.76380
 25400.70000   222.68800     0.00000     6.75260
 25476.50000   222.68800     0.00000     6.79190
 25552.30000   222.68800     0.00000     6.75010
 25628.10000   222.68800     0.00000     6.76430
 25703.90000   222.68800     0.00000     6.75000
 25779.70000   222.68800     0.00000     7.77240
 24407.00000   222.68800     0.00000     9.72790
 24360.20000   243.54000     0.00000     7.13680
 24339.30000   252.82400     0.00000     8.69950
 24307.70000   266.89500     0.00000     9.19410
 24263.50000   286.57700     0.00000     4.25290
 24255.30000   290.24900     0.00000    11.09830
 24263.50000   298.49700     0.00000    11.08120
 24339.30000   298.49700     0.00000     7.13940
 24415.10000   298.49700     0.00000     6.75590
 24491.00000   298.49700     0.00000     6.76850
 24566.80000   298.49700     0.00000     6.75740
 24642.60000   298.49700     0.00000     6.75900
 24718.40000   298.49700     0.00000     7.02950
 24794.20000   298.49700     0.00000     6.75390
 24870.00000   298.49700     0.00000     6.85380
 24945.80000   298.49700     0.00000     6.74840
 25021.60000   298.49700     0.00000     6.90040
 25097.40000   298.49700     0.00000     6.74910
 25173.20000   298.49700     0.00000     6.76480
 25249.00000   298.49700     0.00000     6.75220
 25324.80000   298.49700     0.00000     6.80230
 25400.70000   298.49700     0.00000     6.96050
 25476.50000   298.49700     0.00000     6.76330
 25552.30000   298.49700     0.00000     6.75010
 25628.10000   298.49700     0.00000     6.76520
 25703.90000   298.49700     0.00000     6.75680
 25779.70000   298.49700     0.00000     6.78580
 24236.80000   298.49700     0.00000     9.49430
 24202.80000   313.60400     0.00000    11.37960
 24187.70000   320.33000     0.00000    10.26920
 24150.40000   336.95800     0.00000     6.13230
 24111.90000   354.08200     0.00000     6.95470
 24097.90000   360.31200     0.00000     6.95470
 24111.90000   374.30600     0.00000     8.56890
 24187.70000   374.30600     0.00000     6.84790
 24263.50000   374.30600     0.00000     6.75570
 24339.30000   374.30600     0.00000     6.92440
